Campaign name,Ad group name,Ad name,Optimization goal,By Day,Account name,Cost,Impressions,Clicks (destination),Reach,Conversions,Currency,Tipo de Producto,PRODUCTO DETALLE,OBJETIVO,CANAL,MODALIDAD,SEDE,Nombre Campaña
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_audiovisuales,intereses_audivisuales_cpl,vid_comunicacion_13-ene-2025_intereses_video,Conversion,2025-01-16,PE_SMB_IMS_SISE,13.85,13032,30,12551,2,USD,CARRERA,COMUNICACION AUDIOVISUAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_audiovisuales
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-3,intereses_prioridad-3_cpl,vid_comunicacion-audiovisual-2_intereses_video,Conversion,2025-01-30,PE_SMB_IMS_SISE,13.84,26605,60,25862,1,USD,CARRERA,COMUNICACION AUDIOVISUAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-3
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_refuerzo,lal_refuerzo_cpl,img_malla-curricular_14-ene-2025_lal_ppl,Conversion,2025-01-19,PE_SMB_IMS_SISE,13.83,27457,50,25710,1,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_refuerzo
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,img_malla-curricular_14-ene-2025_intereses_ppl,Impression,2025-02-17,PE_SMB_IMS_SISE,13.79,72054,0,70789,0,USD,CARRERA,GENERAL,AWARENESS,LANDING,PRESENCIAL,GENERAL,alcance_subasta_branding
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,smart_todas-las-carreras_cpl,_001,Conversion,2025-03-24,PE_SMB_IMS_SISE,13.79,24208,46,22583,5,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Pre_social-media_tiktok_aon_2025_2_conversiones_subasta_refuerzo,lal_refuerzo_cpl,vid_fisioterapia_05-feb-2025_lal_spark-ads,Conversion,2025-02-13,PE_SMB_IMS_SISE,13.78,35242,54,32375,6,USD,CARRERA,FISIOTERAPIA Y REHABILITACION,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_refuerzo
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_refuerzo,lal_refuerzo_cpl,vid_collage-mayo_video_intereses_video,Conversion,2025-01-15,PE_SMB_IMS_SISE,13.75,41228,86,39064,4,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_refuerzo
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,intereses_prioridad-1_cpl,vid_farmacia_06-nov-2024_intereses_video,Conversion,2025-01-27,PE_SMB_IMS_SISE,13.75,35263,70,34329,7,USD,CARRERA,TECNICA EN FARMACIA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,intereses_prioridad-1_cpl,vid_tecnica-farmacia-marzo_intereses_video,Conversion,2025-01-29,PE_SMB_IMS_SISE,13.74,24148,47,23146,5,USD,CARRERA,TECNICA EN FARMACIA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-ciberseguridad_05-mar-2025_intereses_spark-ads,Impression,2025-03-17,PE_SMB_IMS_SISE,13.72,73852,107,73522,0,USD,CARRERA,CIBERSEGURIDAD,AWARENESS,LANDING,PRESENCIAL,GENERAL,alcance_subasta_branding
SIS-Cursos_social-media_tiktok_aon_2025_1_conversiones_subasta_generics,abierto_generics_cpl,img_cajero-financiero_14-ene-2025_abierto_ppl,Conversion,2025-01-15,PE_SMB_IMS_SISE_Cursos,13.71,49682,91,43085,24,USD,EXTENSIÓN,CAJERO FINANCIERO Y COMERCIAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_generics
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_prioridad-1,smart_todas-las-carreras_cpl,_001,Conversion,2025-03-26,PE_SMB_IMS_SISE,13.68,24266,55,23070,2,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_prioridad-1
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_computacion-informatica,intereses_computacion-informatica_cpl,vid_computacion-informatica-m1_12-nov-2024_intereses_video,Conversion,2025-01-09,PE_SMB_IMS_SISE,13.68,22440,34,20508,3,USD,CARRERA,SOFTWARE Y SISTEMAS,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_computacion-informatica
SIS-Pre_social-media_tiktok_aon_2025_1_alcance_subasta_branding,intereses_branding_cpm,vid_nacho-publicidad-marketing_05-mar-2025_intereses_spark-ads,Impression,2025-03-07,PE_SMB_IMS_SISE,13.67,79946,89,79648,0,USD,CARRERA,PUBLICIDAD Y MARKETING DIGITAL,AWARENESS,LANDING,PRESENCIAL,GENERAL,alcance_subasta_branding
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_admin-empresas,intereses_admi-empresas_cpl,vid_admi-empresas-m2_12-nov-2024_intereses_video,Conversion,2025-01-05,PE_SMB_IMS_SISE,13.66,32298,45,29493,1,USD,CARRERA,ADMINISTRACION DE EMPRESAS,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_admin-empresas
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_virtuales,abierto_influencers_cpl,vid_carreras-virtuales-nuevas-carreras_abierto_video,Conversion,2025-01-02,PE_SMB_IMS_SISE,13.64,38262,70,33534,6,USD,CARRERA,GENERAL,PERFORMANCE,LANDING,VIRTUAL,GENERAL,conversiones_subasta_virtuales
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_computacion-informatica,rmkt_computacion-informatica_cpl,vid_computacion-informatica-m4_12-nov-2024_rmkt_video,Conversion,2025-01-29,PE_SMB_IMS_SISE,13.63,49311,73,45459,2,USD,CARRERA,SOFTWARE Y SISTEMAS,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,conversiones_subasta_computacion-informatica
