Día,Nombre de la cuenta,Nombre de la campaña,Nombre del conjunto de anuncios,Nombre del anuncio,Divisa,Importe gastado (USD),Costo por registro completado,Registros completados en el sitio web,Alcance,Impresiones,Frecuencia,Clics (todos),CPC (todos),CTR (todos),Clics en el enlace,CPC (costo por clic en el enlace),CTR (porcentaje de clics en el enlace),Visitas a la página de destino,Costo por visita a la página de destino,Conversaciones con mensajes iniciadas,CP - Comunicación audiovisual,CP - Computación e informática,CP - Marketing,CP - Publicidad y marketing,CP - Administración de hoteles,CP - Diseño de modas,CP - Negocios Internacionales,CP - Secretariado ejecutivo,CP - Desarrollo de software,CP - Landing general,CP - Periodismo audiovisual,CP - Contabilidad,CP - Administración bancaria y financiera,CP - Fisioterapia y rehabilitación,CP - Gastronomía,CP - Ciberseguridad,CP - Administración de empresas,CP - Enfermería,CP - Redes y seguridad informática,CP - Diseño de interiores,CP - Administración logística,CP - Diseño gráfico,CP - Software,CP - Tëcnica en farmacia,CP - Cpex,Clientes potenciales de Meta,CP - Cursos,CP - Cluster gestión,Inicio del informe,Fin del informe,Tipo de Producto,PRODUCTO DETALLE,OBJETIVO,CANAL,MODALIDAD,SEDE,Nombre Campaña,Resultados,Tipo Resultado,Resultados Personalizados
2025-04-13,SISE_CARRERAS_FB,sise_carreras_salud_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,lal_salud_facebook_carreras__cpl,ppl_enfermeria-cientifica_carreras___abr_10,USD,1.41,,,295.0,329.0,1.11525424,4.0,0.3525,1.21580547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,ENFERMERIA TECNICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,,Registros completados en el sitio web,
2025-04-13,SISE_CARRERAS_FB,sise_carreras_salud_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,lal_salud_facebook_carreras__cpl,ppl_enfermeria-inicio-mayo_carreras___abr_10,USD,14.48,,,4235.0,5185.0,1.22432113,55.0,0.26327273,1.06075217,15.0,0.96533333,0.28929605,11.0,1.31636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,ENFERMERIA TECNICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,,Registros completados en el sitio web,
2025-04-13,SISE_CARRERAS_FB,sise_carreras_salud_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,lal_salud_facebook_carreras__cpl,ppl_enfermeria-simulacion_carreras___abr_10,USD,21.78,10.89,2.0,6884.0,8430.0,1.22457873,63.0,0.34571429,0.74733096,30.0,0.726,0.35587189,15.0,1.452,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,ENFERMERIA TECNICA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,2.0,Registros completados en el sitio web,1.0
2025-04-13,SISE_CARRERAS_FB,sise_carreras_salud_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,lal_salud_facebook_carreras__cpl,ppl_farmacia-inicio-mayo_carreras___abr_10,USD,16.87,8.435,2.0,6765.0,7818.0,1.1556541,79.0,0.2135443,1.01048862,33.0,0.51121212,0.42210284,17.0,0.99235294,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2025-04-01,2025-04-15,CARRERA,TECNICA EN FARMACIA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,2.0,Registros completados en el sitio web,2.0
2025-04-13,SISE_CARRERAS_FB,sise_carreras_salud_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,lal_salud_facebook_carreras__cpl,ppl_farmacia-m1_carreras___abr_1,USD,4.64,4.64,1.0,1043.0,1170.0,1.12176414,21.0,0.22095238,1.79487179,5.0,0.928,0.42735043,3.0,1.54666667,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2025-04-01,2025-04-15,CARRERA,TECNICA EN FARMACIA,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,1.0,Registros completados en el sitio web,1.0
2025-04-13,SISE_CARRERAS_FB,sise_carreras_salud_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,lal_salud_facebook_carreras__cpl,ppl_fisioterapia-inicio-mayo_carreras___abr_10,USD,8.6,8.6,1.0,1723.0,1928.0,1.11897853,40.0,0.215,2.0746888,14.0,0.61428571,0.72614108,6.0,1.43333333,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,FISIOTERAPIA Y REHABILITACION,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,1.0,Registros completados en el sitio web,1.0
2025-04-13,SISE_CARRERAS_FB,sise_carreras_salud_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,lal_salud_facebook_carreras__cpl,ppl_fisioterapia-m1_carreras___abr_1,USD,27.69,9.23,3.0,6986.0,7850.0,1.12367592,101.0,0.27415842,1.2866242,43.0,0.64395349,0.5477707,21.0,1.31857143,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,FISIOTERAPIA Y REHABILITACION,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,3.0,Registros completados en el sitio web,3.0
2025-04-13,SISE_CARRERAS_FB,sise_carreras_salud_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,lal_salud_facebook_carreras__cpl,ppl_fisioterapia-m3_carreras___abr_1,USD,10.4,,,2723.0,2901.0,1.06536908,26.0,0.4,0.89624267,13.0,0.8,0.44812134,3.0,3.46666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,FISIOTERAPIA Y REHABILITACION,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,,Registros completados en el sitio web,
2025-04-13,SISE_CARRERAS_FB,sise_carreras_tecnologias-de-la-informacion_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_tecnologias-de-la-informacion_facebook_carreras__cpl,ppl_ciberseguridad-inicio-mayo_carreras___abr_10,USD,12.75,12.75,1.0,4126.0,4773.0,1.15681047,20.0,0.6375,0.41902367,6.0,2.125,0.1257071,5.0,2.55,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,2025-04-01,2025-04-15,CARRERA,CIBERSEGURIDAD,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,1.0,Registros completados en el sitio web,
2025-04-13,SISE_CARRERAS_FB,sise_carreras_tecnologias-de-la-informacion_aon_meta_facebook_conversion_conversiones_carreras_2025_abr_1,intereses_tecnologias-de-la-informacion_facebook_carreras__cpl,ppl_computacion-informatica-m1_carreras___abr_1,USD,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2025-04-01,2025-04-15,CARRERA,SOFTWARE Y SISTEMAS,PERFORMANCE,LANDING,PRESENCIAL,GENERAL,,1.0,Registros completados en el sitio web,
