Reporte_CPL_Google - PBI TOTAL
"April 1, 2025 - April 15, 2025"
Account name,Customer ID,Campaign,Landing page,Day,Clicks,Impr.,Currency code,Cost,Conversions
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes,https://carrera.sise.edu.pe/administracion-de-empresas/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes&utm_content=extension-sitio-admin-empresas,2025-04-06,0,11,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes,https://carrera.sise.edu.pe/computacion-e-informatica/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes&utm_content=extension-sitio-computacion-informatica,2025-04-06,0,34,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes,https://carrera.sise.edu.pe/diseno-grafico/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes&utm_content=extension-sitio-diseno-grafico,2025-04-06,0,30,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes,https://carrera.sise.edu.pe/enfermeria/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes&utm_content=extension-sitio-enfermeria,2025-04-06,0,28,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes,https://carrera.sise.edu.pe/gastronomia-y-gestion-culinaria/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes&utm_content=extension-sitio-gastronomia,2025-04-06,0,62,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes,https://carrera.sise.edu.pe/sede-ate/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes&utm_content=abierto_sede-ate-landing-brand_cpl,2025-04-06,0,5,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes,https://carrera.sise.edu.pe/sede-independencia/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes&utm_content=abierto_sede-independencia-landing-brand_cpl,2025-04-06,1,5,USD,0.36,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes,https://carrera.sise.edu.pe/sede-san-juan-de-lurigancho/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes&utm_content=abierto_sede-sjl-landing-brand_cpl,2025-04-06,3,7,USD,1.46,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes,https://carrera.sise.edu.pe/sede-ventanilla/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes&utm_content=abierto_sede-ventanilla-landing-brand_cpl,2025-04-06,2,1,USD,0.20,1.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes,https://carrera.sise.edu.pe/sede-villa-el-salvador/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_brand-sedes&utm_content=abierto_sede-ves-landing-brand_cpl,2025-04-06,5,14,USD,3.42,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=egresados-trabajan,2025-04-06,0,31,USD,0.00,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=extension-21-carreras,2025-04-06,1,86,USD,0.61,0.00
SISE_CARRERAS_SEARCH_GADS,342-718-7080,SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1,https://carrera.sise.edu.pe/?utm_source=google&utm_medium=search-paid&utm_campaign=SIS-Pre_google_search_aon_2025_1_conversiones_subasta_generic-bolsa-1&utm_content=extension-sitio-12-sedes,2025-04-06,0,85,USD,0.00,0.00
