Día,"Nombre de la cuenta","Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Divisa,"Importe gastado (USD)","Costo por registro completado","Registros completados en el sitio web",Alcance,Impresiones,Frecuencia,"Clics (todos)","CPC (todos)","CTR (todos)","Clics en el enlace","CPC (costo por clic en el enlace)","CTR (porcentaje de clics en el enlace)","Visitas a la página de destino","Costo por visita a la página de destino","Conversaciones con mensajes iniciadas","CP - Comunicación audiovisual","CP - Computación e informática","CP - Marketing","CP - Publicidad y marketing","CP - Administración de hoteles","CP - Diseño de modas","CP - Negocios Internacionales","CP - Secretariado ejecutivo","CP - Desarrollo de software","CP - Landing general","CP - Periodismo audiovisual","CP - Contabilidad","CP - Administración bancaria y financiera","CP - Fisioterapia y rehabilitación","CP - Gastronomía","CP - Ciberseguridad","CP - Administración de empresas","CP - Enfermería","CP - Redes y seguridad informática","CP - Diseño de interiores","CP - Administración logística","CP - Diseño gráfico","CP - Software","CP - Tëcnica en farmacia","CP - Cpex","Clientes potenciales de Meta","CP - Cursos","CP - Cluster gestión","Inicio del informe","Fin del informe"
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_awareness_impresiones_carreras_2025_abr_4,intereses_generico_facebook_carreras__cpm,pplv_testimonio-diseño-grafico_carreras___abr_4,USD,1.31,,,5485,5485,1,8,0.16375,0.14585232,3,0.43666667,0.05469462,2,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_awareness_impresiones_carreras_2025_abr_4,intereses_generico_facebook_carreras__cpm,vid_admin-testimonio_14-ene-2025_intereses_pplv,USD,1.86,,,7932,8035,1.01298538,15,0.124,0.18668326,3,0.62,0.03733665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_awareness_impresiones_carreras_2025_abr_4,intereses_generico_facebook_carreras__cpm,vid_nacho-admi-empresas_20-feb-2025_intereses_pplv,USD,0.87,,,3708,3778,1.0188781,6,0.145,0.15881419,1,0.87,0.02646903,1,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_awareness_impresiones_carreras_2025_abr_4,intereses_generico_facebook_carreras__cpm,vid_nacho-computacion-e-informatica_20-feb-2025_intereses_pplv,USD,1.68,,,6834,7129,1.04316652,8,0.21,0.1122177,3,0.56,0.04208164,2,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_awareness_impresiones_carreras_2025_abr_4,intereses_generico_facebook_carreras__cpm,vid_nacho-gastronomia_20-feb-2025_intereses_pplv,USD,6.7,,,27673,28343,1.02421133,69,0.09710145,0.24344635,4,1.675,0.01411283,2,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_awareness_impresiones_carreras_2025_abr_4,intereses_generico_facebook_carreras__cpm,vid_nacho-la-formula-del-exito_20-feb-2025_intereses_pplv,USD,1.28,,,5262,5298,1.00684151,7,0.18285714,0.13212533,2,0.64,0.03775009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_awareness_impresiones_carreras_2025_abr_4,intereses_generico_facebook_carreras__cpm,vid_sise-virtual-nacho_carreras___abr_9,USD,0.51,,,2273,2342,1.03035636,1,0.51,0.04269855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_awareness_impresiones_carreras_2025_abr_4,intereses_generico_facebook_carreras__cpm,vid_ucsur-2_05-mar-2025_intereses_pplv,USD,2.41,,,9990,10214,1.02242242,15,0.16066667,0.14685725,1,2.41,0.00979048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_awareness_impresiones_carreras_2025_abr_4,intereses_generico_facebook_carreras__cpm,vid_ucsur_05-mar-2025_intereses_pplv,USD,4.69,,,19377,19723,1.01785622,47,0.09978723,0.23830046,1,4.69,0.00507022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_consideration_trafico_carreras_2025_abr_14,intereses_generico_facebook_carreras__cpm,ppl_admi-hoteles-inicio-mayo_carreras___abr_10,USD,8.53,,,14508,25303,1.74407224,290,0.02941379,1.14610916,236,0.03614407,0.93269573,165,0.05169697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_consideration_trafico_carreras_2025_abr_14,intereses_generico_facebook_carreras__cpm,ppl_admi-logistica-m2_carreras___abr_1,USD,5.95,,,7847,12706,1.61921754,165,0.03606061,1.29859909,142,0.04190141,1.11758224,99,0.06010101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_consideration_trafico_carreras_2025_abr_14,intereses_generico_facebook_carreras__cpm,ppl_ciberseguridad_carreras___abr_14,USD,9,,,7558,8707,1.15202435,417,0.02158273,4.78925003,390,0.02307692,4.4791547,200,0.045,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_consideration_trafico_carreras_2025_abr_14,intereses_generico_facebook_carreras__cpm,ppl_comunicacion-audiovisual_carreras___abr_14,USD,,,,50,59,1.18,3,,5.08474576,2,,3.38983051,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_consideration_trafico_carreras_2025_abr_14,intereses_generico_facebook_carreras__cpm,ppl_contabilidad_carreras___abr_14,USD,,,,92,96,1.04347826,2,,2.08333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_consideration_trafico_carreras_2025_abr_14,intereses_generico_facebook_carreras__cpm,ppl_enfermeria_carreras___abr_14,USD,4.25,,,6137,6796,1.10738146,297,0.01430976,4.37021778,153,0.02777778,2.25132431,107,0.03971963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_consideration_trafico_carreras_2025_abr_14,intereses_generico_facebook_carreras__cpm,ppl_farmacia-m1_carreras___abr_1,USD,2.52,,,4150,6664,1.60578313,77,0.03272727,1.15546218,56,0.045,0.84033613,34,0.07411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
2025-04-15,SISE_CARRERAS_FB,sise_carreras_generico_aon_meta_facebook_consideration_trafico_carreras_2025_abr_14,intereses_generico_facebook_carreras__cpm,ppl_farmacia_carreras___abr_14,USD,0.03,,,175,188,1.07428571,6,0.005,3.19148936,4,0.0075,2.12765957,1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01,2025-04-15
