Campaign name,Ad group name,Ad name,Optimization goal,By Day,Account name,Cost,Impressions,Clicks (destination),Reach,Conversions,Currency
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-01,PE_SMB_IMS_SISE,2.61,3826,7,3636,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-15,PE_SMB_IMS_SISE,2.61,2593,3,2510,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-12,PE_SMB_IMS_SISE Idiomas2,2.55,2161,16,1907,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-02,PE_SMB_IMS_SISE,2.55,2718,6,2544,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-reto-traduccion_intereses_pplv,Conversion,2025-04-04,PE_SMB_IMS_SISE Idiomas2,2.53,3197,22,2809,1,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-01,PE_SMB_IMS_SISE,2.51,4825,8,4460,0,USD
SIS-Idiomas_social-media_tiktok_aon_2025_1_conversiones_subasta_ingles,intereses_ingles_cpm,vid_ingles-trucos-pronunciacion_intereses_video,Conversion,2025-04-11,PE_SMB_IMS_SISE Idiomas2,2.48,2979,22,2713,3,USD
sise_carreras_top-carreras_aon_tiktok_social_consideracion_trafico_carreras_2025_abr_9,intereses_modalidad-semi_social_carreras__cpc,spark-ads_admi-empresas-m1_carreras___abr_9,Conversion,2025-04-15,PE_SMB_IMS_SISE,2.48,4758,56,4069,26,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-12,PE_SMB_IMS_SISE,2.45,6144,13,5911,0,USD
SIS-Pre_social-media_tiktok_aon_2025_1_conversiones_subasta_general-smart,smart_todas-las-carreras_cpl,_001,Conversion,2025-04-11,PE_SMB_IMS_SISE,2.44,4100,10,3945,2,USD
